AIS;Data;Hora;Dia da Semana;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
AIS 19;27/out/23;22:00;Sexta;Feminino;15;Ensino Médio Incompleto;Branca
AIS 01;27/out/23;21:15;Sexta;Feminino;7;Alfabetizado;Não Informada
AIS 12;27/out/23;20:00;Sexta;Feminino;2;Não Alfabetizado;Parda
AIS 01;28/out/23;22:00;Sábado;Feminino;32;Superior Incompleto;Não Informada
AIS 16;28/out/23;11:45;Sábado;Feminino;12;Alfabetizado;Parda
AIS 14;29/out/23;21:00;Domingo;Masculino;4;Não Alfabetizado;Parda
AIS 01;29/out/23;12:00;Domingo;Feminino;8;Não Alfabetizado;Parda
AIS Não Identificada (Fortaleza);29/out/23;16:00;Domingo;Feminino;7;Não Alfabetizado;Não Informada
AIS 04;29/out/23;10:00;Domingo;Feminino;1;Não Informada;Não Informada
AIS 03;29/out/23;7:00;Domingo;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 03;30/out/23;10:00;Segunda;Feminino;4;Alfabetizado;Parda
AIS 14;30/out/23;8:00;Segunda;Feminino;15;Alfabetizado;Parda
AIS 20;30/out/23;0:00;Segunda;Feminino;15;Ensino Fundamental Incompleto;Parda
AIS 13;30/out/23;14:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 12;30/out/23;9:00;Segunda;Feminino;Não Informada;Não Informada;Não Informada
AIS 19;30/out/23;15:15;Segunda;Feminino;13;Alfabetizado;Não Informada
AIS 22;30/out/23;20:00;Segunda;Feminino;21;Alfabetizado;Não Informada
AIS 14;30/out/23;8:00;Segunda;Feminino;20;Alfabetizado;Não Informada
AIS 17;30/out/23;10:50;Segunda;Feminino;26;Ensino Médio Completo;Não Informada
AIS 03;31/out/23;10:42;Terça;Feminino;22;Superior Incompleto;Parda
AIS 12;01/nov/23;15:30;Quarta;Masculino;Não Informada;Não Informada;Parda
AIS 19;01/nov/23;19:07;Quarta;Feminino;11;Não Alfabetizado;Branca
AIS 14;01/nov/23;15:30;Quarta;Feminino;5;Alfabetizado;Não Informada
AIS 03;01/nov/23;19:00;Quarta;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 08;01/nov/23;12:00;Quarta;Feminino;8;Ensino Fundamental Incompleto;Parda
AIS 14;01/nov/23;16:00;Quarta;Feminino;12;Alfabetizado;Parda
AIS 04;01/nov/23;0:00;Quarta;Feminino;3;Não Alfabetizado;Não Informada
AIS 13;01/nov/23;13:40;Quarta;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 08;01/nov/23;2:00;Quarta;Feminino;21;Ensino Fundamental Incompleto;Parda
AIS 19;02/nov/23;23:00;Quinta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 25;02/nov/23;20:00;Quinta;Feminino;20;Ensino Médio Completo;Não Informada
AIS 14;02/nov/23;15:00;Quinta;Feminino;Não Informada;Não Alfabetizado;Não Informada
AIS 14;02/nov/23;18:08;Quinta;Feminino;3;Não Informada;Branca
AIS 14;02/nov/23;10:00;Quinta;Feminino;4;Não Alfabetizado;Não Informada
AIS 19;02/nov/23;11:30;Quinta;Feminino;15;Ensino Fundamental Completo;Não Informada
AIS 14;02/nov/23;22:00;Quinta;Feminino;23;Ensino Médio Completo;Parda
AIS 22;02/nov/23;8:00;Quinta;Feminino;10;Alfabetizado;Não Informada
AIS 09;03/nov/23;19:00;Sexta;Feminino;1;Não Informada;Não Informada
AIS 19;03/nov/23;14:30;Sexta;Feminino;14;Não Informada;Parda
AIS 15;03/nov/23;0:30;Sexta;Feminino;49;Alfabetizado;Não Informada
AIS 11;03/nov/23;9:00;Sexta;Feminino;38;Ensino Fundamental Completo;Branca
AIS 19;04/nov/23;16:00;Sábado;Masculino;6;Não Alfabetizado;Parda
AIS 17;04/nov/23;19:30;Sábado;Masculino;3;Não Informada;Parda
AIS 21;04/nov/23;19:00;Sábado;Feminino;11;Alfabetizado;Parda
AIS 12;04/nov/23;0:00;Sábado;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 19;04/nov/23;20:30;Sábado;Feminino;6;Não Informada;Não Informada
AIS 19;04/nov/23;8:00;Sábado;Feminino;10;Não Informada;Não Informada
AIS 15;04/nov/23;23:30;Sábado;Feminino;36;Ensino Fundamental Completo;Parda
AIS 03;04/nov/23;8:40;Sábado;Feminino;19;Ensino Médio Incompleto;Não Informada
AIS 19;04/nov/23;18:00;Sábado;Feminino;24;Ensino Fundamental Completo;Branca
AIS 21;05/nov/23;20:00;Domingo;Feminino;27;Ensino Médio Completo;Branca
AIS 09;05/nov/23;21:00;Domingo;Feminino;13;Alfabetizado;Não Informada
AIS 25;06/nov/23;5:00;Segunda;Feminino;12;Alfabetizado;Não Informada
AIS 02;06/nov/23;11:32;Segunda;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 03;06/nov/23;19:00;Segunda;Feminino;5;Não Alfabetizado;Não Informada
AIS 17;06/nov/23;19:30;Segunda;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 03;06/nov/23;15:00;Segunda;Feminino;14;Não Informada;Não Informada
AIS 13;06/nov/23;10:00;Segunda;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 07;06/nov/23;10:35;Segunda;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 18;07/nov/23;10:00;Terça;Feminino;6;Alfabetizado;Branca
AIS 13;07/nov/23;0:00;Terça;Masculino;9;Ensino Fundamental Incompleto;Não Informada
AIS 21;07/nov/23;9:30;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 14;07/nov/23;21:00;Terça;Feminino;10;Não Informada;Não Informada
AIS 19;07/nov/23;18:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 17;07/nov/23;12:00;Terça;Feminino;17;Ensino Médio Incompleto;Parda
AIS 13;07/nov/23;1:40;Terça;Feminino;16;Ensino Médio Completo;Não Informada
AIS 13;07/nov/23;1:40;Terça;Feminino;16;Ensino Fundamental Incompleto;Não Informada
AIS 17;07/nov/23;17:00;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 13;07/nov/23;0:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 16;08/nov/23;9:29;Quarta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 17;08/nov/23;9:20;Quarta;Feminino;5;Alfabetizado;Não Informada
AIS 01;08/nov/23;20:00;Quarta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 19;08/nov/23;6:40;Quarta;Feminino;10;Alfabetizado;Não Informada
AIS 03;08/nov/23;17:00;Quarta;Feminino;7;Alfabetizado;Não Informada
AIS 10;08/nov/23;9:30;Quarta;Feminino;20;Ensino Médio Completo;Não Informada
AIS 06;09/nov/23;0:00;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 11;09/nov/23;0:00;Quinta;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 06;09/nov/23;0:00;Quinta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 06;09/nov/23;0:00;Quinta;Feminino;17;Ensino Médio Incompleto;Não Informada
AIS 03;09/nov/23;0:00;Quinta;Feminino;3;Não Alfabetizado;Não Informada
AIS 06;10/nov/23;7:30;Sexta;Masculino;5;Não Alfabetizado;Não Informada
AIS 10;10/nov/23;8:00;Sexta;Feminino;9;Ensino Fundamental Incompleto;Parda
AIS 05;10/nov/23;13:00;Sexta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 16;10/nov/23;17:05;Sexta;Feminino;6;Ensino Fundamental Incompleto;Parda
AIS 01;10/nov/23;3:00;Sexta;Feminino;31;Superior Incompleto;Branca
AIS 13;11/nov/23;5:00;Sábado;Masculino;42;Ensino Médio Completo;Parda
AIS 13;11/nov/23;5:00;Sábado;Feminino;48;Alfabetizado;Não Informada
AIS 20;11/nov/23;13:50;Sábado;Feminino;11;Alfabetizado;Não Informada
AIS 07;11/nov/23;1:00;Sábado;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 11;11/nov/23;9:30;Sábado;Feminino;1;Não Alfabetizado;Parda
AIS 16;11/nov/23;3:30;Sábado;Feminino;27;Ensino Médio Completo;Não Informada
AIS 03;11/nov/23;7:40;Sábado;Feminino;28;Ensino Fundamental Incompleto;Não Informada
AIS 04;12/nov/23;17:10;Domingo;Feminino;10;Alfabetizado;Não Informada
AIS 16;12/nov/23;0:00;Domingo;Feminino;14;Alfabetizado;Não Informada
AIS 20;12/nov/23;22:00;Domingo;Feminino;Não Informada;Não Alfabetizado;Parda
AIS Não Identificada (Fortaleza);13/nov/23;0:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS Não Identificada (Fortaleza);13/nov/23;10:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 14;13/nov/23;10:00;Segunda;Feminino;11;Alfabetizado;Parda
AIS 14;13/nov/23;9:00;Segunda;Feminino;5;Não Alfabetizado;Não Informada
AIS 11;13/nov/23;15:00;Segunda;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 03;13/nov/23;18:30;Segunda;Feminino;66;Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);13/nov/23;10:00;Segunda;Feminino;19;Ensino Fundamental Incompleto;Não Informada
AIS 16;13/nov/23;10:00;Segunda;Feminino;46;Não Alfabetizado;Parda
AIS 01;14/nov/23;0:00;Terça;Masculino;Não Informada;Não Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);14/nov/23;0:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 09;14/nov/23;0:00;Terça;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 14;14/nov/23;17:00;Terça;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 14;14/nov/23;10:00;Terça;Feminino;8;Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);14/nov/23;0:00;Terça;Feminino;Não Informada;Não Alfabetizado;Não Informada
AIS Não Identificada (Fortaleza);14/nov/23;0:00;Terça;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 13;14/nov/23;12:00;Terça;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 11;14/nov/23;19:00;Terça;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 06;14/nov/23;0:00;Terça;Feminino;3;Não Alfabetizado;Não Informada
AIS 17;14/nov/23;18:00;Terça;Feminino;13;Alfabetizado;Parda
AIS 18;14/nov/23;19:15;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 23;14/nov/23;13:00;Terça;Feminino;11;Alfabetizado;Parda
AIS 23;14/nov/23;13:00;Terça;Feminino;11;Alfabetizado;Parda
AIS 09;14/nov/23;0:00;Terça;Feminino;Não Informada;Não Informada;Não Informada
AIS 20;14/nov/23;15:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 16;15/nov/23;21:00;Quarta;Feminino;1;Não Alfabetizado;Não Informada
AIS 24;15/nov/23;8:30;Quarta;Feminino;9;Não Informada;Não Informada
AIS 02;15/nov/23;0:00;Quarta;Feminino;15;Ensino Fundamental Incompleto;Não Informada
AIS 09;16/nov/23;0:00;Quinta;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 17;16/nov/23;8:30;Quinta;Feminino;13;Não Informada;Não Informada
AIS 11;16/nov/23;10:00;Quinta;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 18;16/nov/23;8:00;Quinta;Feminino;13;Alfabetizado;Não Informada
AIS 08;17/nov/23;8:00;Sexta;Feminino;16;Ensino Fundamental Incompleto;Não Informada
AIS 18;17/nov/23;8:00;Sexta;Feminino;10;Alfabetizado;Não Informada
AIS 05;17/nov/23;3:00;Sexta;Feminino;4;Não Alfabetizado;Branca
AIS 14;17/nov/23;23:30;Sexta;Feminino;14;Alfabetizado;Não Informada
AIS 15;17/nov/23;9:00;Sexta;Feminino;15;Ensino Médio Incompleto;Parda
AIS 07;18/nov/23;13:30;Sábado;Feminino;4;Não Alfabetizado;Branca
AIS 21;18/nov/23;14:30;Sábado;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 17;18/nov/23;20:00;Sábado;Feminino;11;Não Alfabetizado;Não Informada
AIS 15;18/nov/23;21:00;Sábado;Feminino;12;Não Informada;Branca
AIS 23;18/nov/23;15:30;Sábado;Feminino;Não Informada;Não Informada;Não Informada
AIS 02;19/nov/23;17:00;Domingo;Masculino;7;Não Alfabetizado;Não Informada
AIS 19;19/nov/23;9:00;Domingo;Feminino;10;Não Informada;Não Informada
AIS 02;19/nov/23;17:00;Domingo;Feminino;5;Alfabetizado;Não Informada
AIS 17;19/nov/23;14:00;Domingo;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 19;19/nov/23;14:30;Domingo;Feminino;7;Alfabetizado;Parda
AIS 14;19/nov/23;1:00;Domingo;Feminino;15;Alfabetizado;Parda
AIS 14;19/nov/23;18:30;Domingo;Feminino;7;Alfabetizado;Branca
AIS 05;19/nov/23;3:00;Domingo;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 16;19/nov/23;15:00;Domingo;Feminino;33;Ensino Fundamental Incompleto;Não Informada
AIS 14;19/nov/23;1:00;Domingo;Feminino;30;Alfabetizado;Parda
AIS 14;19/nov/23;1:00;Domingo;Feminino;14;Alfabetizado;Parda
AIS 19;20/nov/23;8:30;Segunda;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 23;20/nov/23;17:10;Segunda;Feminino;12;Alfabetizado;Não Informada
AIS 04;20/nov/23;0:00;Segunda;Feminino;29;Ensino Médio Completo;Não Informada
AIS 17;20/nov/23;8:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 09;20/nov/23;15:00;Segunda;Feminino;4;Não Informada;Não Informada
AIS 20;20/nov/23;10:00;Segunda;Feminino;20;Ensino Médio Completo;Não Informada
AIS 20;20/nov/23;10:00;Segunda;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 03;20/nov/23;20:00;Segunda;Feminino;25;Não Alfabetizado;Não Informada
AIS 16;21/nov/23;9:30;Terça;Masculino;5;Não Alfabetizado;Não Informada
AIS 01;21/nov/23;10:00;Terça;Feminino;11;Não Alfabetizado;Não Informada
AIS 18;21/nov/23;12:00;Terça;Feminino;10;Alfabetizado;Não Informada
AIS 19;21/nov/23;10:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Branca
AIS 18;21/nov/23;12:00;Terça;Feminino;16;Alfabetizado;Não Informada
AIS 22;21/nov/23;18:00;Terça;Feminino;6;Não Informada;Parda
AIS 14;21/nov/23;14:00;Terça;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 22;21/nov/23;7:40;Terça;Feminino;18;Ensino Médio Incompleto;Não Informada
AIS 13;22/nov/23;18:00;Quarta;Masculino;3;Não Informada;Não Informada
AIS 19;22/nov/23;18:00;Quarta;Feminino;13;Não Alfabetizado;Branca
AIS 17;22/nov/23;10:00;Quarta;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 17;22/nov/23;15:20;Quarta;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 06;23/nov/23;12:00;Quinta;Masculino;10;Ensino Fundamental Incompleto;Parda
AIS 11;23/nov/23;12:30;Quinta;Masculino;14;Alfabetizado;Não Informada
AIS 06;23/nov/23;12:00;Quinta;Masculino;19;Não Informada;Não Informada
AIS 01;23/nov/23;19:30;Quinta;Feminino;12;Não Informada;Não Informada
AIS 17;23/nov/23;17:00;Quinta;Feminino;9;Alfabetizado;Parda
AIS 06;24/nov/23;0:40;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 18;24/nov/23;11:00;Sexta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 11;24/nov/23;18:00;Sexta;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 06;24/nov/23;0:40;Sexta;Feminino;4;Não Informada;Não Informada
AIS 11;24/nov/23;18:00;Sexta;Feminino;35;Ensino Fundamental Incompleto;Branca
AIS 15;25/nov/23;20:30;Sábado;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 03;25/nov/23;22:30;Sábado;Feminino;8;Alfabetizado;Não Informada
AIS 25;25/nov/23;5:00;Sábado;Feminino;9;Alfabetizado;Não Informada
AIS 19;25/nov/23;2:00;Sábado;Feminino;Não Informada;Não Informada;Não Informada
AIS 13;25/nov/23;2:00;Sábado;Feminino;27;Ensino Médio Incompleto;Parda
AIS 23;26/nov/23;20:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 02;27/nov/23;17:22;Segunda;Masculino;3;Não Informada;Não Informada
AIS 04;27/nov/23;14:30;Segunda;Feminino;2;Não Alfabetizado;Não Informada
AIS 14;27/nov/23;4:00;Segunda;Feminino;17;Ensino Fundamental Completo;Branca
AIS 02;27/nov/23;0:00;Segunda;Feminino;4;Não Alfabetizado;Não Informada
AIS 23;27/nov/23;0:00;Segunda;Feminino;12;Não Informada;Não Informada
AIS 06;27/nov/23;0:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 06;27/nov/23;6:00;Segunda;Feminino;27;Superior Completo;Não Informada
AIS 14;27/nov/23;12:00;Segunda;Feminino;61;Não Alfabetizado;Não Informada
AIS 02;28/nov/23;8:00;Terça;Feminino;4;Não Alfabetizado;Parda
AIS 13;28/nov/23;14:00;Terça;Feminino;2;Não Alfabetizado;Parda
AIS 05;29/nov/23;0:00;Quarta;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 18;29/nov/23;14:30;Quarta;Feminino;17;Não Informada;Não Informada
AIS 16;29/nov/23;17:00;Quarta;Feminino;14;Alfabetizado;Não Informada
AIS 25;29/nov/23;23:00;Quarta;Feminino;13;Ensino Fundamental Completo;Não Informada
AIS 19;29/nov/23;15:30;Quarta;Feminino;12;Ensino Fundamental Incompleto;Branca
AIS 14;29/nov/23;18:30;Quarta;Feminino;10;Alfabetizado;Parda
AIS 05;29/nov/23;0:00;Quarta;Feminino;3;Não Alfabetizado;Não Informada
AIS 19;29/nov/23;16:30;Quarta;Feminino;11;Ensino Fundamental Incompleto;Branca
AIS 14;29/nov/23;20:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 25;29/nov/23;23:00;Quarta;Feminino;19;Ensino Médio Completo;Não Informada
AIS 19;29/nov/23;11:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 23;30/nov/23;10:30;Quinta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 09;30/nov/23;10:00;Quinta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 07;12/dez/23;2:30;Terça;Feminino;46;Alfabetizado;Indígena
AIS 23;05/dez/23;18:00;Terça;Masculino;7;Alfabetizado;Não Informada
AIS 10;02/dez/23;18:00;Sábado;Masculino;6;Ensino Fundamental Incompleto;Não Informada
AIS 14;27/dez/23;17:00;Quarta;Masculino;7;Não Informada;Branca
AIS 10;28/dez/23;16:00;Quinta;Masculino;4;Não Alfabetizado;Não Informada
AIS 12;05/dez/23;10:00;Terça;Masculino;8;Não Alfabetizado;Não Informada
AIS 14;11/dez/23;16:00;Segunda;Masculino;16;Não Informada;Não Informada
AIS Não Identificada (Fortaleza);01/dez/23;0:00;Sexta;Masculino;11;Ensino Fundamental Incompleto;Não Informada
AIS 17;29/dez/23;8:00;Sexta;Masculino;9;Alfabetizado;Não Informada
AIS 25;17/dez/23;17:00;Domingo;Masculino;6;Alfabetizado;Não Informada
AIS 09;13/dez/23;0:00;Quarta;Masculino;3;Não Alfabetizado;Não Informada
AIS 13;02/dez/23;14:30;Sábado;Masculino;9;Alfabetizado;Não Informada
AIS 09;07/dez/23;8:00;Quinta;Masculino;2;Não Alfabetizado;Não Informada
AIS 16;09/dez/23;18:00;Sábado;Masculino;9;Não Informada;Não Informada
AIS 16;25/dez/23;8:30;Segunda;Masculino;2;Não Alfabetizado;Parda
AIS 19;21/dez/23;13:35;Quinta;Masculino;9;Não Informada;Não Informada
AIS 10;25/dez/23;22:30;Segunda;Masculino;11;Não Informada;Não Informada
AIS 11;09/dez/23;16:30;Sábado;Masculino;12;Ensino Fundamental Incompleto;Parda
AIS 15;06/dez/23;17:00;Quarta;Masculino;5;Não Alfabetizado;Não Informada
AIS 19;05/dez/23;20:00;Terça;Masculino;Não Informada;Não Informada;Parda
AIS 18;08/dez/23;18:14;Sexta;Masculino;3;Não Informada;Branca
AIS 07;18/dez/23;0:00;Segunda;Masculino;4;Ensino Fundamental Incompleto;Não Informada
AIS 12;06/dez/23;12:00;Quarta;Masculino;17;Ensino Médio Completo;Não Informada
AIS 23;05/dez/23;18:00;Terça;Masculino;5;Não Alfabetizado;Não Informada
AIS 11;23/dez/23;19:40;Sábado;Masculino;6;Alfabetizado;Não Informada
AIS 23;06/dez/23;16:00;Quarta;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 17;29/dez/23;23:00;Sexta;Feminino;37;Superior Completo;Não Informada
AIS 12;31/dez/23;11:30;Domingo;Feminino;7;Não Alfabetizado;Não Informada
AIS 23;07/dez/23;14:00;Quinta;Feminino;17;Ensino Médio Incompleto;Branca
AIS 17;01/dez/23;16:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 11;31/dez/23;19:50;Domingo;Feminino;2;Não Informada;Não Informada
AIS 16;23/dez/23;22:00;Sábado;Feminino;14;Ensino Fundamental Completo;Não Informada
AIS 07;12/dez/23;0:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 25;08/dez/23;10:00;Sexta;Feminino;8;Alfabetizado;Não Informada
AIS 17;04/dez/23;18:00;Segunda;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 14;24/dez/23;19:00;Domingo;Feminino;12;Não Informada;Não Informada
AIS 14;11/dez/23;16:37;Segunda;Feminino;4;Não Alfabetizado;Parda
AIS 18;28/dez/23;7:00;Quinta;Feminino;7;Alfabetizado;Não Informada
AIS 05;24/dez/23;10:00;Domingo;Feminino;9;Não Informada;Não Informada
AIS 14;05/dez/23;10:00;Terça;Feminino;5;Ensino Fundamental Incompleto;Parda
AIS 15;02/dez/23;10:30;Sábado;Feminino;15;Ensino Fundamental Completo;Não Informada
AIS 01;02/dez/23;19:10;Sábado;Feminino;15;Ensino Fundamental Completo;Não Informada
AIS 11;11/dez/23;14:30;Segunda;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 11;03/dez/23;10:50;Domingo;Feminino;11;Alfabetizado;Não Informada
AIS 06;01/dez/23;16:30;Sexta;Feminino;18;Ensino Médio Completo;Parda
AIS 16;05/dez/23;17:10;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 19;15/dez/23;7:00;Sexta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 03;03/dez/23;8:00;Domingo;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 16;09/dez/23;18:00;Sábado;Feminino;8;Não Informada;Não Informada
AIS 12;24/dez/23;18:00;Domingo;Feminino;Não Informada;Ensino Fundamental Completo;Não Informada
AIS 16;02/dez/23;3:00;Sábado;Feminino;12;Não Informada;Não Informada
AIS 25;12/dez/23;17:00;Terça;Feminino;10;Alfabetizado;Não Informada
AIS 12;02/dez/23;17:00;Sábado;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 20;08/dez/23;17:00;Sexta;Feminino;2;Não Alfabetizado;Não Informada
AIS 14;14/dez/23;16:00;Quinta;Feminino;6;Não Informada;Não Informada
AIS 13;12/dez/23;8:00;Terça;Feminino;12;Alfabetizado;Parda
AIS 20;11/dez/23;10:00;Segunda;Feminino;10;Alfabetizado;Não Informada
AIS 07;28/dez/23;23:19;Quinta;Feminino;34;Ensino Fundamental Completo;Não Informada
AIS 16;11/dez/23;10:00;Segunda;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 07;10/dez/23;8:30;Domingo;Feminino;16;Ensino Médio Incompleto;Parda
AIS 14;27/dez/23;10:00;Quarta;Feminino;13;Alfabetizado;Parda
AIS 16;19/dez/23;1:00;Terça;Feminino;13;Não Alfabetizado;Não Informada
AIS 25;05/dez/23;0:00;Terça;Feminino;4;Ensino Fundamental Incompleto;Não Informada
AIS 13;08/dez/23;6:50;Sexta;Feminino;Não Informada;Ensino Fundamental Incompleto;Preta
AIS 18;04/dez/23;19:30;Segunda;Feminino;11;Não Informada;Não Informada
AIS 25;03/dez/23;23:00;Domingo;Feminino;1;Não Alfabetizado;Não Informada
AIS 23;03/dez/23;21:00;Domingo;Feminino;5;Não Alfabetizado;Não Informada
AIS 14;16/dez/23;15:00;Sábado;Feminino;Não Informada;Não Informada;Não Informada
AIS 21;05/dez/23;9:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 19;02/dez/23;20:00;Sábado;Feminino;14;Ensino Fundamental Incompleto;Branca
AIS 07;01/dez/23;9:00;Sexta;Feminino;3;Não Alfabetizado;Não Informada
AIS 11;13/dez/23;11:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 18;14/dez/23;5:00;Quinta;Feminino;41;Ensino Médio Completo;Não Informada
AIS 19;13/dez/23;18:00;Quarta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 06;13/dez/23;0:00;Quarta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 22;06/dez/23;9:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 23;09/dez/23;16:30;Sábado;Feminino;6;Alfabetizado;Não Informada
AIS 15;04/dez/23;22:00;Segunda;Feminino;7;Alfabetizado;Não Informada
AIS 23;19/dez/23;12:00;Terça;Feminino;22;Ensino Fundamental Completo;Não Informada
AIS 13;15/dez/23;10:00;Sexta;Feminino;14;Ensino Fundamental Completo;Não Informada
AIS 11;19/dez/23;0:00;Terça;Feminino;12;Alfabetizado;Não Informada
AIS 08;15/dez/23;13:00;Sexta;Feminino;4;Não Alfabetizado;Não Informada
AIS 21;08/dez/23;5:30;Sexta;Feminino;22;Não Informada;Não Informada
AIS 03;12/dez/23;11:00;Terça;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 19;28/dez/23;1:00;Quinta;Feminino;13;Ensino Fundamental Completo;Branca
AIS 19;26/dez/23;14:00;Terça;Feminino;44;Não Alfabetizado;Não Informada
AIS 06;14/dez/23;0:00;Quinta;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 19;05/dez/23;12:00;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 19;06/dez/23;8:00;Quarta;Feminino;8;Não Alfabetizado;Parda
AIS 04;09/dez/23;14:20;Sábado;Feminino;9;Alfabetizado;Não Informada
AIS 06;27/dez/23;10:00;Quarta;Feminino;15;Não Informada;Não Informada
AIS 19;04/dez/23;12:00;Segunda;Feminino;5;Não Alfabetizado;Não Informada
AIS 14;10/dez/23;8:00;Domingo;Feminino;4;Não Alfabetizado;Branca
AIS 14;05/dez/23;12:00;Terça;Feminino;10;Alfabetizado;Não Informada
AIS 19;05/dez/23;11:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Branca
AIS 17;14/dez/23;8:00;Quinta;Feminino;17;Não Informada;Não Informada
AIS 20;28/dez/23;18:30;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 17;27/dez/23;10:55;Quarta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 19;02/dez/23;23:00;Sábado;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 20;29/dez/23;21:00;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 03;10/dez/23;23:00;Domingo;Feminino;Não Informada;Não Informada;Não Informada
